,begin,end,let,;,=,idf,num,+,-,*,/,(,),while,:,ewhile,~,<,<=,>,>=,if,eif,else,eelse,>>,<<,$,PROG,BODY,INSTRUCTIONS,VARDCLR,STOP,EXPR,X,T,Z,F,AFF,WHILE,COND,OPR,OPRD,IF,IN,OUT,IDF,NUM
0,s1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, ,r3,s5, , ,s16, , , , , , , ,s12, , , , , , , ,s13, , , ,s14,s15, , ,2,4,3, , , , , , ,6,7, , , ,8,9,10,11, 
2, ,s17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3, ,r3,s5, , ,s16, , , , , , , ,s12, ,r3, , , , , ,s13,r3, ,r3,s14,s15, , ,18,4,3, , , , , , ,6,7, , , ,8,9,10,11, 
4, ,r3,s5, , ,s16, , , , , , , ,s12, ,r3, , , , , ,s13,r3, ,r3,s14,s15, , ,19,4,3, , , , , , ,6,7, , , ,8,9,10,11, 
5, , , , , ,s16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20, 
6, ,r4,r4, , ,r4, , , , , , , ,r4, ,r4, , , , , ,r4,r4, ,r4,r4,r4, , , , , , , , , , , , , , , , , , , , , 
7, ,r5,r5, , ,r5, , , , , , , ,r5, ,r5, , , , , ,r5,r5, ,r5,r5,r5, , , , , , , , , , , , , , , , , , , , , 
8, ,r6,r6, , ,r6, , , , , , , ,r6, ,r6, , , , , ,r6,r6, ,r6,r6,r6, , , , , , , , , , , , , , , , , , , , , 
9, ,r7,r7, , ,r7, , , , , , , ,r7, ,r7, , , , , ,r7,r7, ,r7,r7,r7, , , , , , , , , , , , , , , , , , , , , 
10, ,r8,r8, , ,r8, , , , , , , ,r8, ,r8, , , , , ,r8,r8, ,r8,r8,r8, , , , , , , , , , , , , , , , , , , , , 
11, , , , ,s21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12, , , , , , , , , , , ,s22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13, , , , , , , , , , , ,s23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14, , , , , ,s16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24, 
15, , , , , ,s16,s28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25, , , ,26,27
16, , , ,r38,r38, , , , , , , ,r38, , , ,r38,r38,r38,r38,r38, , , , , , , , , , , , , , , , , , , , , , , , , , , 
17, , , , , , , , , , , , , , , , , , , , , , , , , , , ,acc, , , , , , , , , , , , , , , , , , , , 
18, ,r1, , , , , , , , , , , , , ,r1, , , , , , ,r1, ,r1, , , , , , , , , , , , , , , , , , , , , , , 
19, ,r2, , , , , , , , , , , , , ,r2, , , , , , ,r2, ,r2, , , , , , , , , , , , , , , , , , , , , , , 
20, , , ,s30,s31, , , , , , , , , , , , , , , , , , , , , , , , , , , ,29, , , , , , , , , , , , , , , 
21, , , , , ,s36,s37, , , , ,s35, , , , , , , , , , , , , , , , , , , , , ,32, ,33, ,34, , , , , , , , , , 
22, , , , , ,s16,s28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38, ,39, , , ,26,27
23, , , , , ,s16,s28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40, ,39, , , ,26,27
24, , , ,s41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25, , , ,s42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
